research_order,listed_affiliation,research_group,public_profiles_with_label,all_profiles_with_label,status,scope_reviewed,next_step
183,United Farmers League,United Farmers League,22,22,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
184,United Freedom Front,United Freedom Front,7,7,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
185,United Mine Workers of America,United Mine Workers of America,33,33,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
186,Unión Obrera Democrática,Unión Obrera Democrática,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
187,Vieques 4,Vieques 4,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
188,Vietnam Veterans Against the War,Vietnam Veterans Against the War,17,17,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
189,Virgin Islands Five,Virgin Islands Five,7,7,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
190,War Resisters League,War Resisters League,11,11,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
191,Weather Underground,Weather Underground,19,19,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
192,Western Federation of Miners,Western Federation of Miners,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
193,White House Peace Vigil,White House Peace Vigil,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
194,White Panther Party,White Panther Party,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
195,Wikileaks,Wikileaks,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
196,Williamsburg 4,Williamsburg 4,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
197,Wilmington Ten,Wilmington Ten,12,12,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
198,Workers (Communist) Party,Workers (Communist) Party,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
199,Young Lords,Young Lords,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
